StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Intro,1_1,1_2,1_3,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,5_1,5_2,5_3,6_1,6_2,6_3,7_1,7_2,7_3,8_1,8_2,8_3,9_1,9_2,9_3,10_1,10_2,10_3,11_1,11_2,11_3,12_1,12_2,12_3
2022-05-24 18:15:52,2022-05-24 18:17:03,IP Address,122.62.50.89,100,71,True,2022-05-24 18:17:04,R_2bZ6FV0PwVS73x4,,,,,-43.5379,172.6151,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",7,7,7,10,10,10,10,10,10,8,9,9,5,7,6,9,10,10,9,10,10,1,1,1,3,3,2,10,10,10,9,9,9,1,1,1
2022-05-24 18:17:43,2022-05-24 18:20:56,IP Address,95.222.125.83,100,192,True,2022-05-24 18:20:57,R_3ESYnbFNOEX9yzQ,,,,,51.0485,7.0092,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,5,7,8,7,8,6,5,7,7,7,8,5,7,7,8,8,10,6,7,8,5,6,6,2,5,5,8,8,9,5,7,8,5,6,7
2022-05-24 18:27:38,2022-05-24 18:34:09,IP Address,114.23.130.109,100,391,True,2022-05-24 18:34:10,R_0cbvjGRWP3csrsd,,,,,-36.8506,174.7679,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",4,4,5,9,8,9,6,10,9,10,7,6,4,4,4,5,7,6,,,,3,7,6,6,5,6,9,9,9,9,9,9,3,7,4
2022-05-24 18:50:26,2022-05-24 18:56:07,IP Address,160.2.29.239,100,341,True,2022-05-24 18:56:07,R_2U3N8JyIYTLBHju,,,,,43.6138,-116.3972,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",9,7,8,10,9,10,9,10,9,9,9,8,4,6,5,9,9,9,,,,4,7,5,6,6,6,8,8,9,2,5,2,2,2,2
2022-05-24 18:57:28,2022-05-24 19:03:06,IP Address,186.74.48.107,100,338,True,2022-05-24 19:03:07,R_2PpU5yfXACrxZ9S,,,,,8.9948,-79.523,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Unity (2014),Assassin's Creed: Origins (2017)",7,7,7,,,,,,,,,,10,8,8,6,9,8,,,,4,10,9,,,,5,6,7,,,,,,
2022-05-24 19:58:10,2022-05-24 20:00:11,IP Address,107.123.33.30,100,120,True,2022-05-24 20:00:11,R_VJxUm8NkBJXxHr3,,,,,32.3012,-90.1834,anonymous,EN,"Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",,,,10,8,9,7,9,10,8,6,5,7,10,9,10,9,9,9,8,8,7,8,8,9,7,6,10,10,10,6,8,7,9,8,8
2022-05-24 20:12:30,2022-05-24 20:12:44,IP Address,24.222.70.13,100,13,True,2022-05-24 20:12:44,R_2fiIb8UJadDYmQh,,,,,43.4526,-65.6308,anonymous,EN,Assassin's Creed: Valhalla (2020),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,10
2022-05-24 20:17:00,2022-05-24 20:20:56,IP Address,186.137.41.106,100,236,True,2022-05-24 20:20:57,R_3Ez4sSxXe0RHzc9,,,,,-34.8786,-58.0162,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",10,6,10,10,8,10,6,7,9,10,7,9,5,6,6,9,7,8,3,6,3,5,5,5,4,5,4,8,7,7,5,5,7,3,4,1
2022-05-24 20:21:47,2022-05-24 20:22:05,IP Address,71.197.244.73,100,17,True,2022-05-24 20:22:06,R_0xCKBdsQ4JTOTL3,,,,,47.63,-122.2972,anonymous,EN,Assassin's Creed III (2012),,,,,,,,,,,,,7,10,10,,,,,,,,,,,,,,,,,,,,,
2022-05-24 20:27:26,2022-05-24 20:27:51,IP Address,166.70.16.176,100,25,True,2022-05-24 20:27:52,R_sBChHTeaG6ccocp,,,,,40.3409,-111.7159,anonymous,EN,Assassin's Creed: Odyssey (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,
2022-05-24 20:30:57,2022-05-24 20:32:47,IP Address,71.227.222.178,100,109,True,2022-05-24 20:32:47,R_3fP0mNk1ugyrY9w,,,,,48.8645,-122.5953,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",6,4,6,7,9,8,9,9,9,7,9,8,5,5,5,4,8,7,7,7,7,4,7,6,3,4,4,10,8,9,8,9,8,6,5,5
2022-05-24 20:34:06,2022-05-24 20:36:06,IP Address,75.90.240.186,100,119,True,2022-05-24 20:36:06,R_3NIAsqz2v4QlEmt,,,,,33.6739,-86.4109,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Odyssey (2018)",6,7,7,10,9,9,10,10,10,8,7,7,7,7,7,10,10,10,,,,5,8,6,4,5,4,,,,5,8,7,,,
2022-05-24 20:52:16,2022-05-24 20:52:32,IP Address,24.156.213.180,100,15,True,2022-05-24 20:52:32,R_6nCbYpUo6u9mBdD,,,,,44.1742,-77.3701,anonymous,EN,Assassin's Creed: Brotherhood (2010),,,,,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 21:33:30,2022-05-24 21:34:06,IP Address,191.13.173.210,100,35,True,2022-05-24 21:34:06,R_XjP1tY3pf8rk5cR,,,,,-22.6097,-47.3823,anonymous,EN,Assassin's Creed (2007),7,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 21:35:26,2022-05-24 21:37:59,IP Address,68.231.82.115,100,152,True,2022-05-24 21:37:59,R_1f9qGd05xPiJGk6,,,,,33.6262,-112.0074,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",10,5,8,7,7,7,5,8,7,9,8,7,4,6,4,9,8,9,3,5,4,6,9,8,1,8,5,10,8,10,3,9,7,1,4,3
2022-05-24 21:38:10,2022-05-24 21:39:42,IP Address,131.191.112.132,100,91,True,2022-05-24 21:39:42,R_1mf5PWNvecwBMxd,,,,,47.2067,-122.4414,anonymous,EN,"Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018)",,,,,,,,,,,,,,,,9,10,10,7,9,8,7,6,7,8,9,9,10,10,10,9,8,9,,,
2022-05-24 22:04:18,2022-05-24 22:04:46,IP Address,195.181.169.40,100,28,True,2022-05-24 22:04:46,R_yyapzFAwDXjx185,,,,,40.7425,-73.9877,anonymous,EN,Assassin's Creed: Unity (2014),,,,,,,,,,,,,,,,,,,,,,8,10,10,,,,,,,,,,,,
2022-05-24 22:31:34,2022-05-24 22:33:29,IP Address,73.205.3.253,100,115,True,2022-05-24 22:33:30,R_Ulm5cmgAVJ9XFHr,,,,,26.3432,-80.2116,anonymous,EN,"Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",,,,8,6,7,5,7,5,9,8,8,4,4,4,9,10,9,9,10,9,1,1,1,6,6,6,9,9,9,6,7,7,7,8,8
2022-05-24 23:08:49,2022-05-24 23:12:00,IP Address,60.240.117.78,100,191,True,2022-05-24 23:12:01,R_QbiQ5cwXuLLlHmp,,,,,-34.9274,138.6005,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed: Syndicate (2015),Assassin's Creed: Odyssey (2018)",8,7,7,8,8,9,7,9,8,9,9,9,7,8,8,,,,,,,,,,7,9,10,,,,9,9,10,,,
2022-05-24 23:16:56,2022-05-24 23:18:39,IP Address,202.190.4.230,100,103,True,2022-05-24 23:18:40,R_3MxPayBcIVEmFiE,,,,,5.3695,100.3002,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",7,8,9,9,9,9,9,10,10,10,8,8,8,7,7,9,9,10,7,6,7,6,7,6,1,1,1,9,9,9,1,1,2,5,5,7
2022-05-24 23:16:08,2022-05-24 23:18:41,IP Address,71.45.88.231,100,153,True,2022-05-24 23:18:42,R_pQmqLX8Vt1iOuMV,,,,,33.5699,-86.724,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,6,7,9,7,7,8,8,8,6,7,7,9,9,10,9,8,9,9,10,10,9,9,9,6,6,5,7,4,4,3,3,1,6,5,5
2022-05-24 23:19:40,2022-05-24 23:20:19,IP Address,153.33.114.28,100,38,True,2022-05-24 23:20:19,R_1EaERgGVxOV0LdN,,,,,34.0095,-81.0819,anonymous,EN,Assassin's Creed II (2009),,,,10,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-24 23:28:35,2022-05-24 23:29:23,IP Address,99.92.174.142,100,47,True,2022-05-24 23:29:23,R_3qOF9MiCJu44MBH,,,,,39.2318,-85.8884,anonymous,EN,"Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,6,8,9,9,7,5,6
2022-05-24 23:53:39,2022-05-24 23:54:54,IP Address,4.1.102.3,100,74,True,2022-05-24 23:54:54,R_1pVzWyZjulNsw1L,,,,,34.0544,-118.244,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,9,,,,,,
2022-05-25 00:09:55,2022-05-25 00:10:26,IP Address,166.194.136.59,100,31,True,2022-05-25 00:10:26,R_3kBXyvencTduI77,,,,,41.871,-87.6289,anonymous,EN,Assassin's Creed: Revelations (2011),,,,,,,,,,10,7,10,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 00:10:07,2022-05-25 00:10:37,IP Address,46.97.168.251,100,30,True,2022-05-25 00:10:38,R_2wuBJTcyyEj0zLp,,,,,45.9968,24.997,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,
2022-05-25 00:09:54,2022-05-25 00:11:04,IP Address,107.116.13.32,100,69,True,2022-05-25 00:11:04,R_7TFeosweYJKHDoJ,,,,,39.9587,-82.9987,anonymous,EN,"Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Origins (2017)",,,,,,,8,6,10,8,5,10,6,6,8,10,9,10,,,,,,,,,,9,9,8,,,,,,
2022-05-25 00:25:56,2022-05-25 00:26:50,IP Address,49.37.217.228,100,53,True,2022-05-25 00:26:50,R_4PLtnsMGMQmftaV,,,,,12.8996,80.2209,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,10,,,,,,
2022-05-25 00:33:43,2022-05-25 00:33:57,IP Address,98.194.201.124,100,13,True,2022-05-25 00:33:57,R_24PdFCAfTPYXQYj,,,,,29.6924,-95.513,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,10,,,,,,
2022-05-25 00:40:29,2022-05-25 00:41:18,IP Address,185.31.154.133,100,48,True,2022-05-25 00:41:18,R_2VJuCpLOMlmuEWq,,,,,51.5095,-0.0955,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Unity (2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 00:55:35,2022-05-25 00:56:32,IP Address,213.205.197.54,100,56,True,2022-05-25 00:56:32,R_1KygB2mrR5qPcAH,,,,,52.6189,-2.004,anonymous,EN,"Assassin's Creed II (2009),Assassin's Creed III (2012),Assassin's Creed: Unity (2014),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",,,,10,8,7,,,,,,,4,9,7,,,,,,,3,9,9,,,,10,10,10,10,10,10,10,9,10
2022-05-25 01:02:35,2022-05-25 01:02:52,IP Address,103.222.23.7,100,17,True,2022-05-25 01:02:52,R_sulaTtTSs5ATygN,,,,,23.7731,90.3657,anonymous,EN,Assassin's Creed: Brotherhood (2010),,,,,,,9,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 01:05:56,2022-05-25 01:09:11,IP Address,172.58.21.169,100,194,True,2022-05-25 01:09:11,R_2PjsXm0AvuCFbiw,,,,,33.816,-117.9692,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,10,10,8,10,10,8,10,10,6,10,9,9,10,10,9,10,10,,,,8,10,10,9,10,10,9,7,9,6,8,9,4,6,8
2022-05-25 01:15:20,2022-05-25 01:23:05,IP Address,41.13.170.27,100,465,True,2022-05-25 01:23:05,R_3GoDZ5pALgCEf6D,,,,,-29.8556,31.0449,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018)",10,7,10,10,8,10,10,8,9,9,8,9,10,10,10,9,10,9,10,10,8,,,,,,,10,8,9,5,7,5,,,
2022-05-25 01:36:53,2022-05-25 01:37:10,IP Address,82.73.227.235,100,16,True,2022-05-25 01:37:10,R_1MTfXhryhBU0sam,,,,,53.2258,6.5342,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,9,8,10,,,,,,
2022-05-25 01:41:32,2022-05-25 01:41:44,IP Address,175.33.252.173,100,12,True,2022-05-25 01:41:44,R_1jCisXgaNEJrrRk,,,,,-37.8159,144.9669,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,
2022-05-25 01:41:25,2022-05-25 01:43:22,IP Address,70.94.37.181,100,116,True,2022-05-25 01:43:22,R_20YwoP4yiizNslV,,,,,39.249,-94.4232,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,7,9,9,9,10,9,10,10,7,6,7,8,7,8,7,8,8,9,7,8,7,8,7,4,5,3,9,8,9,6,7,7,2,5,3
2022-05-25 01:48:07,2022-05-25 01:48:37,IP Address,118.210.209.170,100,29,True,2022-05-25 01:48:37,R_1jpsZL1l3rd6FKk,,,,,-37.8159,144.9669,anonymous,EN,Assassin's Creed II (2009),,,,9,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 01:46:16,2022-05-25 01:49:04,IP Address,174.209.104.40,100,167,True,2022-05-25 01:49:04,R_2aJ0MqszAgZuyzI,,,,,33.8486,-84.3557,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",5,5,7,10,9,9,7,9,9,3,2,2,8,8,8,10,10,10,8,8,8,1,5,4,3,4,7,9,9,9,8,8,8,8,8,8
2022-05-25 01:52:29,2022-05-25 01:55:38,IP Address,173.255.140.5,100,189,True,2022-05-25 01:55:38,R_x9NNuI9Tef7NRvz,,,,,37.3388,-121.8916,anonymous,EN,"Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",,,,2,3,3,9,9,9,5,5,5,2,2,2,3,3,3,,,,2,5,4,5,8,6,5,8,7,10,10,10,9,8,5
2022-05-25 01:55:24,2022-05-25 01:55:47,IP Address,87.4.87.111,100,22,True,2022-05-25 01:55:47,R_Zh22mSLEhsPXCfL,,,,,45.8578,9.3989,anonymous,EN,Assassin's Creed: Odyssey (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,10,,,
2022-05-25 01:57:01,2022-05-25 01:57:17,IP Address,87.120.228.40,100,15,True,2022-05-25 01:57:17,R_3RvZ4zKA7JnTe6P,,,,,42.6951,23.325,anonymous,EN,Assassin's Creed: Syndicate (2015),,,,,,,,,,,,,,,,,,,,,,,,,10,9,10,,,,,,,,,
2022-05-25 01:59:53,2022-05-25 02:00:17,IP Address,62.254.69.187,100,24,True,2022-05-25 02:00:18,R_1DA29abmuIQ257c,,,,,51.4964,-0.1224,anonymous,EN,Assassin's Creed II (2009),,,,9,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 02:03:47,2022-05-25 02:04:26,IP Address,151.210.153.171,100,38,True,2022-05-25 02:04:26,R_e3xwNL8AZljvgXv,,,,,-37.7837,175.2824,anonymous,EN,Assassin's Creed IV: Black Flag (2013),,,,,,,,,,,,,,,,8,9,10,,,,,,,,,,,,,,,,,,
2022-05-25 02:23:27,2022-05-25 02:23:45,IP Address,88.73.232.144,100,18,True,2022-05-25 02:23:45,R_2f0wcdPCoAMH1a6,,,,,52.4317,13.4181,anonymous,EN,Assassin's Creed: Odyssey (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,
2022-05-25 02:24:00,2022-05-25 02:24:14,IP Address,158.42.174.236,100,13,True,2022-05-25 02:24:14,R_T7qjSNi4U9PkIql,,,,,39.4923,-0.4046,anonymous,EN,Assassin's Creed II (2009),,,,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 02:25:14,2022-05-25 02:25:32,IP Address,99.235.204.47,100,17,True,2022-05-25 02:25:33,R_2WGtOPbTUuDusyT,,,,,43.7627,-79.7606,anonymous,EN,Assassin's Creed II (2009),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 02:32:27,2022-05-25 02:32:40,IP Address,151.84.172.115,100,13,True,2022-05-25 02:32:41,R_3niuIsA9ZH9uPoY,,,,,45.4366,12.333,anonymous,EN,Assassin's Creed: Odyssey (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,10,8,,,
2022-05-25 02:50:15,2022-05-25 02:53:12,IP Address,94.66.57.119,100,176,True,2022-05-25 02:53:12,R_1jPpwKklIwpmtx6,,,,,37.9842,23.7353,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",7,5,5,8,6,8,10,8,10,10,8,8,7,7,6,9,7,7,7,6,6,6,10,10,5,10,9,10,9,10,5,6,8,7,9,9
2022-05-25 02:54:43,2022-05-25 02:55:06,IP Address,84.15.177.140,100,23,True,2022-05-25 02:55:07,R_oXHZQPMrEqJBBBf,,,,,54.6816,25.3225,anonymous,EN,Assassin's Creed: Odyssey (2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,10,10,,,
2022-05-25 02:57:49,2022-05-25 02:57:59,IP Address,151.251.241.117,100,9,True,2022-05-25 02:58:00,R_2roTGPRPGQWGXN4,,,,,42.6951,23.325,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,
2022-05-25 03:31:16,2022-05-25 03:31:33,IP Address,5.69.143.211,100,17,True,2022-05-25 03:31:34,R_2gwE3EjzLOtZ1vj,,,,,51.6702,-3.2068,anonymous,EN,Assassin's Creed II (2009),,,,10,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 03:34:58,2022-05-25 03:35:48,IP Address,37.63.8.27,100,50,True,2022-05-25 03:35:49,R_UftHLxAlmcHeoi5,,,,,42.4963,27.4646,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,10,8,9,,,,,,
2022-05-25 03:43:18,2022-05-25 03:43:33,IP Address,80.233.43.252,100,15,True,2022-05-25 03:43:33,R_RRAIhlrxcBCiJWh,,,,,53.3379,-6.2591,anonymous,EN,Assassin's Creed: Origins (2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-25 03:52:54,2022-05-25 03:57:32,IP Address,104.233.113.55,100,278,True,2022-05-25 03:57:32,R_2BqyGRpBDCbwLFf,,,,,24.6569,46.7179,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018)",7,8,9,10,9,10,9,9,9,9,9,9,6,6,6,7,8,8,6,8,8,,,,6,8,8,6,7,7,6,6,6,,,
2022-05-25 03:57:04,2022-05-25 04:11:02,IP Address,46.210.9.57,100,837,True,2022-05-25 04:11:02,R_2y7tsAVXVkYrvrK,,,,,32.0123,34.7705,anonymous,EN,"Assassin's Creed (2007),Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed III (2012),Assassin's Creed IV: Black Flag (2013),Assassin's Creed: Rogue (2014),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015),Assassin's Creed: Origins (2017),Assassin's Creed: Odyssey (2018),Assassin's Creed: Valhalla (2020)",8,7,8,9,10,9,6,9,9,7,8,7,7,5,4,9,9,10,5,10,8,4,7,7,3,6,5,4,3,2,3,7,7,4,3,5
2022-05-25 04:18:09,2022-05-25 04:20:13,IP Address,109.242.137.18,100,123,True,2022-05-25 04:20:13,R_3M3C8wFOvkTEiLO,,,,,39.644,22.4217,anonymous,EN,"Assassin's Creed II (2009),Assassin's Creed: Brotherhood (2010),Assassin's Creed: Revelations (2011),Assassin's Creed: Unity (2014),Assassin's Creed: Syndicate (2015)",,,,9,8,9,8,9,9,7,9,8,,,,,,,,,,6,9,9,6,8,8,,,,,,,,,
